Native node type, Number of occurrences, Percentage of native, Leafs
KtValueArgumentList,117760, 33.85970763798636%, true
KtOperationReferenceExpression,52165, 14.999079899248969%, true
KtDeclarationModifierList,44080, 12.674387845469079%, true
KtLiteralStringTemplateEntry,32122, 9.236086351455484%, true
KDocName,11014, 3.1668717724590847%, true
LeafPsiElement,10253, 2.9480603126042304%, true
KtParameterList,9814, 2.821833990821995%, true
KtTypeParameter,8332, 2.39571233050019%, true
KDocLink,8249, 2.3718472172702914%, false
KDocSection,7672, 2.2059415505997904%, true
KtTypeProjection,7528, 2.16453701680334%, true
KDocImpl,7390, 2.1248576719150747%, true
KtDestructuringDeclarationEntry,4776, 1.3732503709156152%, true
KtTypeArgumentList,3984, 1.1455254350351365%, false
KtTypeParameterList,3870, 1.1127468457796128%, false
KDocTag,2180, 0.6268186366407122%, true
KtLabelReferenceExpression,1982, 0.5698874026705925%, true
KtContainerNode,1982, 0.5698874026705925%, false
KtClassBody,1827, 0.5253200225424683%, true
KtEscapeStringTemplateEntry,1627, 0.4678137256029535%, true
KtParameter,1186, 0.3410123408513232%, false
KtDestructuringDeclaration,1184, 0.34043727788192807%, false
KtPrimaryConstructor,1178, 0.3387120889737426%, false
KtConstructorDelegationReferenceExpression,1072, 0.30823375159579974%, true
KtAnnotationUseSiteTarget,1064, 0.30593349971821915%, true
KtObjectDeclaration,612, 0.17596926863491552%, true
KtImportAlias,583, 0.16763085557868587%, true
KtTypeReference,533, 0.15325428134380714%, false
KtDynamicType,532, 0.15296674985910957%, true
KtReturnExpression,377, 0.10839936973098553%, false
KtPropertyAccessor,289, 0.08309659907759899%, true
KtConstructorDelegationCall,153, 0.04399231715872888%, false
KtSecondaryConstructor,86, 0.024727707683991393%, false
KtProperty,83, 0.023865113229898677%, true
KtObjectLiteralExpression,61, 0.017539420566552034%, false
KtInitializerList,60, 0.017251889081854464%, false
KtSuperTypeCallEntry,60, 0.017251889081854464%, false
KtCollectionLiteralExpression,17, 0.004888035239858765%, true
KtWhenExpression,14, 0.0040254407857660416%, true
KtValueArgument,13, 0.003737909301068467%, false
KtClassLiteralExpression,7, 0.0020127203928830208%, true
KtNamedFunction,6, 0.0017251889081854462%, false
KtNullableType,5, 0.001437657423487872%, false
KtFunctionType,4, 0.0011501259387902976%, false
KtFunctionTypeReceiver,1, 2.875314846975744E-4%, false
KtTypeAlias,1, 2.875314846975744E-4%, false
