Native node type, Number of occurrences, Percentage of native 
KtDotQualifiedExpression,685385, 20.392827899094055%
KtValueArgument,385330, 11.465042821710297%
KtCallExpression,372668, 11.088299842423723%
KtValueArgumentList,356960, 10.620926700847864%
KtUserType,281734, 8.382665181355536%
KtTypeReference,280014, 8.331488595952527%
KtImportDirective,80428, 2.3930409365077097%
KtTypeProjection,55480, 1.6507424175342882%
KtOperationReferenceExpression,52165, 1.552108475318604%
KtDeclarationModifierList,50537, 1.5036692421580808%
KtLambdaExpression,47060, 1.4002151796893225%
KtTypeArgumentList,45654, 1.3583812965052342%
KtLambdaArgument,41812, 1.2440670865526975%
KtProperty,34965, 1.0403426212885074%
KtBinaryExpression,34052, 1.0131773756647005%
KtParameterList,33655, 1.0013651056617965%
KtClass,32801, 0.9759553359326277%
KtLiteralStringTemplateEntry,32122, 0.955752486229928%
KtClassBody,31294, 0.931116316047549%
KtConstructorCalleeExpression,19603, 0.5832643044506967%
KtNullableType,19053, 0.5668996986532228%
KtSuperTypeList,17320, 0.5153363134768182%
KtPackageDirective,15188, 0.45190115064006436%
KtWhenCondition,14487, 0.4310437167054657%
KtThisExpression,14240, 0.4236945210109637%
KtStringTemplateExpression,14070, 0.4186363701281081%
KtSafeQualifiedExpression,13885, 0.4131319118144123%
KtParameter,13038, 0.3879304188863023%
KtSimpleNameStringTemplateEntry,12763, 0.3797481159875653%
KtValueArgumentName,12653, 0.37647519482807046%
KtContainerNode,12457, 0.37064344439842517%
KtPrimaryConstructor,12230, 0.3638893252783768%
KtNamedFunction,11974, 0.35627234512537076%
KtSuperTypeCallEntry,11800, 0.35109517892762443%
KtTypeParameter,11675, 0.3473759503372894%
KDocName,11014, 0.3277086695515979%
KtArrayAccessExpression,10439, 0.3106002180360569%
LeafPsiElement,10253, 0.30506600589363836%
KtWhenConditionWithExpression,10105, 0.30066243924268177%
KtIsExpression,9027, 0.26858781187963265%
KtBinaryExpressionWithTypeRHS,8949, 0.2662670132392636%
KtAnnotationEntry,8855, 0.2634701533393317%
KDocLink,8249, 0.24543933313338762%
KtSuperTypeEntry,8238, 0.2451120410174381%
KtObjectDeclaration,8223, 0.24466573358659793%
KDocSection,7672, 0.2282713739604012%
KDocImpl,7390, 0.21988079426060544%
KtBlockStringTemplateEntry,7307, 0.217411226476623%
KtPropertyAccessor,7223, 0.21491190486391787%
KtFunctionType,7110, 0.21154972221825505%
KtClassLiteralExpression,6580, 0.19578019299523464%
KtPostfixExpression,6206, 0.1846522610529523%
KtForExpression,5805, 0.1727209757351576%
KtTypeParameterList,5486, 0.16322950437262265%
KtWhenConditionIsPattern,5480, 0.1630509814002866%
KtDestructuringDeclarationEntry,4833, 0.1438002542167126%
KtCallableReferenceExpression,3850, 0.11455224058231814%
KtEnumEntry,3423, 0.10184735571773376%
KtDestructuringDeclaration,2329, 0.0692966670951218%
KtObjectLiteralExpression,2291, 0.06816602160365996%
KDocTag,2180, 0.06486334661544248%
KtSuperExpression,2048, 0.060935841224048715%
KtLabelReferenceExpression,1982, 0.05897208852835183%
KtPropertyDelegate,1771, 0.05269403066786634%
KtEscapeStringTemplateEntry,1627, 0.04840947933180041%
KtSecondaryConstructor,1568, 0.04665400343716229%
KtWhenExpression,1263, 0.03757908567674489%
KtFunctionTypeReceiver,1184, 0.035228533207653165%
KtClassInitializer,1122, 0.033383795826846994%
KtConstructorDelegationReferenceExpression,1072, 0.031896104390713%
KtConstructorDelegationCall,1072, 0.031896104390713%
KtAnnotationUseSiteTarget,1064, 0.031658073760931556%
KtInitializerList,1052, 0.031301027816259396%
KtReturnExpression,990, 0.029456290435453236%
KtImportAlias,583, 0.017346482145322462%
KtFileAnnotationList,551, 0.0163943596261967%
KtDynamicType,532, 0.015829036880465778%
KtTypeAlias,497, 0.014787652875171978%
KtAnnotatedExpression,491, 0.014609129902835898%
KtDelegatedSuperTypeEntry,476, 0.014162822471995695%
KtLabeledExpression,355, 0.010562609196551413%
KtAnnotation,150, 0.004463074308402005%
KtWhenConditionInRange,137, 0.004076274535007165%
KtCollectionLiteralExpression,109, 0.003243167330772124%
KtTypeConstraint,77, 0.002291044811646363%
KtTypeConstraintList,45, 0.0013389222925206015%
KtIfExpression,11, 3.272921159494804E-4%
KtWhileExpression,10, 2.9753828722680036E-4%
KtDoWhileExpression,4, 1.1901531489072015E-4%
