Native node type, Number of occurrences, Percentage of native 
send,571036, 44.73657615197256%
sym,169281, 13.261952569683988%
pair,81562, 6.389797883333424%
block,67921, 5.321123342167793%
str,57320, 4.490611003563815%
hash,49370, 3.867785506733175%
index,42575, 3.335445978310004%
const,39488, 3.0936016627482195%
array,22450, 1.7587965287858978%
dstr,17287, 1.354312498580036%
args,16253, 1.2733060125771578%
self,11930, 0.9346299593949112%
class,9176, 0.7188738061532025%
nil,8971, 0.7028135260462489%
regexp,7290, 0.5711192291692291%
regopt,7290, 0.5711192291692291%
module,7147, 0.5599162045092566%
if,5752, 0.4506279569521819%
optarg,3261, 0.25547596794524774%
or_asgn,2657, 0.20815689875207707%
block_pass,2220, 0.17392108213383933%

,1983, 0.15535383147360513%
float,1750, 0.13709995213253098%
kwoptarg,1494, 0.11704418770628645%
zsuper,1259, 0.09863362270563229%
splat,1056, 0.0827300282582587%
cbase,970, 0.07599254489631718%
resbody,901, 0.07058688964080595%
yield,882, 0.06909837587479563%
gvar,818, 0.0640844347682345%
raise,807, 0.0632226636405443%
4.2,769, 0.06024563610852362%
lane :test do
,755, 0.05914883649146337%
ensure,698, 0.05468329519343236%
',690, 0.05405655255511223%
lambda,682, 0.05342980991679208%
irange,678, 0.053116438597632015%
rescue,656, 0.05139289634225162%
/,586, 0.04590889825695038%
(SonarRuby analysis),580, 0.045438841278210275%
alias,545, 0.042696842235559654%
nth_ref,539, 0.04222678525681955%
csend,491, 0.0384663294268987%
 ,488, 0.03823130093752864%
super,467, 0.03658610151193827%
        end
,424, 0.033217359830967505%
1,399, 0.03125878908621707%
defined?,389, 0.030475360788316887%
        end,386, 0.030240332298946838%
),349, 0.02734164759671618%
          end
,349, 0.02734164759671618%
",330, 0.025853133830705848%
sclass,291, 0.022797763468895154%
          end,271, 0.021230906873094802%
xstr,259, 0.020290792915614586%
.,255, 0.019977421596454516%
.json,255, 0.019977421596454516%
                {
,220, 0.0172354225538039%
:,201, 0.01574690878779356%
erange,186, 0.014571766340943296%
_,185, 0.014493423511153278%
restarg,185, 0.014493423511153278%
, ,176, 0.013788338043043118%
: ,170, 0.01331828106430301%
>,162, 0.01269153842598287%
=,158, 0.012378167106822798%
                },
,154, 0.012064795787662726%
,151, 0.011829767298292675%
          ,145, 0.011359710319552569%
-,144, 0.01128136748976255%
          ),144, 0.01128136748976255%
/t/,143, 0.011203024659972534%
'
,141, 0.011046339000392497%
            },
,136, 0.01065462485144241%
                    },
,131, 0.010262910702492321%
',
,129, 0.010106225042912285%
dsym,124, 0.009714510893962197%
      end
,124, 0.009714510893962197%
          )
,122, 0.00955782523438216%
                }
,122, 0.00955782523438216%
2,113, 0.008852739766272%
/config/environment,113, 0.008852739766272%
<option value=",113, 0.008852739766272%
</option>
,113, 0.008852739766272%
op_asgn,113, 0.008852739766272%
