Native node type, Number of occurrences, Percentage of native, Leafs
ScalaNativeKind(class scala.meta.Name$Indeterminate$NameIndeterminateImpl),41976, 25.656133488173094%, true
ScalaNativeKind(class scala.meta.Importee$Name$ImporteeNameImpl),37976, 23.211295153108%, false
ScalaNativeKind(class scala.meta.Lit$String$LitStringImpl),14447, 8.830144856671353%, true
ScalaNativeKind(class scala.meta.Term$Placeholder$TermPlaceholderImpl),9323, 5.6983069494529675%, true
ScalaNativeKind(class scala.meta.Importee$Wildcard$ImporteeWildcardImpl),8919, 5.451378277611393%, true
ScalaNativeKind(class scala.meta.Mod$Override$ModOverrideImpl),8550, 5.225841941201638%, true
ScalaNativeKind(class scala.meta.Pat$Wildcard$PatWildcardImpl),5573, 3.4062710103294416%, true
ScalaNativeKind(class scala.meta.Mod$Implicit$ModImplicitImpl),4900, 2.9949269604547397%, true
ScalaNativeKind(class scala.meta.Name$Anonymous$NameAnonymousImpl),4804, 2.9362508404131775%, true
ScalaNativeKind(class scala.meta.Mod$Case$ModCaseImpl),4063, 2.483344538842369%, true
ScalaNativeKind(class scala.meta.Term$This$TermThisImpl),3496, 2.1367887048468917%, true
ScalaNativeKind(class scala.meta.Mod$Protected$ModProtectedImpl),2624, 1.6038139478027018%, true
ScalaNativeKind(class scala.meta.Type$Param$TypeParamImpl),2390, 1.4607909052013934%, false
ScalaNativeKind(class scala.meta.Mod$Private$ModPrivateImpl),2148, 1.3128781859299554%, false
ScalaNativeKind(class scala.meta.Mod$ValParam$ModValParamImpl),1884, 1.151518855815659%, true
ScalaNativeKind(class scala.meta.Mod$Lazy$ModLazyImpl),1641, 1.0029949269604548%, true
ScalaNativeKind(class scala.meta.Term$Param$TermParamImpl),1591, 0.972434447772141%, false
ScalaNativeKind(class scala.meta.Mod$Final$ModFinalImpl),1565, 0.9565429985942179%, true
ScalaNativeKind(class scala.meta.Type$Placeholder$TypePlaceholderImpl),1408, 0.860583093942913%, true
ScalaNativeKind(class scala.meta.Type$Singleton$TypeSingletonImpl),814, 0.49752460118574654%, false
ScalaNativeKind(class scala.meta.Term$Super$TermSuperImpl),739, 0.45168388240327606%, true
ScalaNativeKind(class scala.meta.Mod$Abstract$ModAbstractImpl),709, 0.4333475948902879%, true
ScalaNativeKind(class scala.meta.Mod$Sealed$ModSealedImpl),706, 0.43151396613898907%, true
ScalaNativeKind(class scala.meta.Importee$Rename$ImporteeRenameImpl),598, 0.36550333109223154%, false
ScalaNativeKind(class scala.meta.Mod$Covariant$ModCovariantImpl),134, 0.08190208422468065%, true
ScalaNativeKind(class scala.meta.Ctor$Primary$CtorPrimaryImpl),112, 0.06845547338182263%, true
ScalaNativeKind(class scala.meta.Pat$SeqWildcard$PatSeqWildcardImpl),108, 0.06601063504675754%, true
ScalaNativeKind(class scala.meta.Importee$Unimport$ImporteeUnimportImpl),99, 0.06050974879286107%, false
ScalaNativeKind(class scala.meta.Case$CaseImpl),77, 0.04706313795000306%, false
ScalaNativeKind(class scala.meta.Mod$VarParam$ModVarParamImpl),66, 0.040339832528574045%, true
ScalaNativeKind(class scala.meta.Mod$Contravariant$ModContravariantImpl),60, 0.03667257502597641%, true
ScalaNativeKind(class scala.meta.Template$TemplateImpl),39, 0.023837173766884667%, true
ScalaNativeKind(class scala.meta.Term$Throw$TermThrowImpl),20, 0.01222419167532547%, false
ScalaNativeKind(class scala.meta.Pat$Tuple$PatTupleImpl),16, 0.009779353340260375%, false
ScalaNativeKind(class scala.meta.Term$NewAnonymous$TermNewAnonymousImpl),15, 0.009168143756494102%, false
ScalaNativeKind(class scala.meta.Term$Apply$TermApplyImpl),9, 0.005500886253896461%, false
ScalaNativeKind(class scala.meta.Term$Function$TermFunctionImpl),5, 0.0030560479188313674%, false
ScalaNativeKind(class scala.meta.Term$Tuple$TermTupleImpl),3, 0.0018336287512988206%, false
ScalaNativeKind(class scala.meta.Self$SelfImpl),2, 0.0012224191675325468%, false
ScalaNativeKind(class scala.meta.Term$Repeated$TermRepeatedImpl),1, 6.112095837662734E-4%, false
