Native node type, Number of occurrences, Percentage of native 
ScalaNativeKind(class scala.meta.Term$Select$TermSelectImpl),364555, 26.83657409384096%
ScalaNativeKind(class scala.meta.Term$Apply$TermApplyImpl),289350, 21.300387360077032%
ScalaNativeKind(class scala.meta.Term$ApplyInfix$TermApplyInfixImpl),60078, 4.42261853056405%
ScalaNativeKind(class scala.meta.Type$Apply$TypeApplyImpl),59742, 4.397884021654474%
ScalaNativeKind(class scala.meta.Term$Param$TermParamImpl),51777, 3.811543654199787%
ScalaNativeKind(class scala.meta.Pat$Var$PatVarImpl),49616, 3.6524624823140903%
ScalaNativeKind(class scala.meta.Name$Indeterminate$NameIndeterminateImpl),41976, 3.09004686306063%
ScalaNativeKind(class scala.meta.Init$InitImpl),39811, 2.9306712327355338%
ScalaNativeKind(class scala.meta.Importee$Name$ImporteeNameImpl),37976, 2.7955884236609134%
ScalaNativeKind(class scala.meta.Importer$ImporterImpl),35852, 2.6392309923396637%
ScalaNativeKind(class scala.meta.Defn$Val$DefnValImpl),26344, 1.9393032818865361%
ScalaNativeKind(class scala.meta.Template$TemplateImpl),20973, 1.5439192123825662%
ScalaNativeKind(class scala.meta.Term$ApplyType$TermApplyTypeImpl),18557, 1.3660663149851373%
ScalaNativeKind(class scala.meta.Term$Function$TermFunctionImpl),16204, 1.1928511380082536%
ScalaNativeKind(class scala.meta.Term$New$TermNewImpl),16103, 1.185416062413411%
ScalaNativeKind(class scala.meta.Term$Assign$TermAssignImpl),16085, 1.1840909994361122%
ScalaNativeKind(class scala.meta.Type$Param$TypeParamImpl),15701, 1.1558229892537393%
ScalaNativeKind(class scala.meta.Lit$String$LitStringImpl),14447, 1.063510268501928%
ScalaNativeKind(class scala.meta.Pat$Extract$PatExtractImpl),10106, 0.7439492471433851%
ScalaNativeKind(class scala.meta.Defn$Class$DefnClassImpl),10100, 0.7435075594842855%
ScalaNativeKind(class scala.meta.Term$Placeholder$TermPlaceholderImpl),9323, 0.6863090076308904%
ScalaNativeKind(class scala.meta.Case$CaseImpl),9170, 0.6750459723238513%
ScalaNativeKind(class scala.meta.Importee$Wildcard$ImporteeWildcardImpl),8919, 0.6565687052515191%
ScalaNativeKind(class scala.meta.Type$Select$TypeSelectImpl),8749, 0.6440542215770311%
ScalaNativeKind(class scala.meta.Mod$Override$ModOverrideImpl),8550, 0.6294049142168952%
ScalaNativeKind(class scala.meta.Term$Interpolate$TermInterpolateImpl),8289, 0.6101915010460636%
ScalaNativeKind(class scala.meta.Ctor$Primary$CtorPrimaryImpl),6648, 0.4893899262823297%
ScalaNativeKind(class scala.meta.Pat$Wildcard$PatWildcardImpl),5573, 0.4102542206936557%
